num,uni_num,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,campusName,lng,lat,uid,area
1100,852,1704,荆州理工职业学院,4142011074,湖北省,荆州市,专科,nan,荆州理工职业学院(东校区),112.300071,30.301515,d5ff0d3541fe18705bf6be3b,沙市区
1101,852,1704,荆州理工职业学院,4142011074,湖北省,荆州市,专科,nan,荆州理工职业学院,112.260171,30.332985,8877c71a19d77f662bd7ab07,沙市区
1102,852,1704,荆州理工职业学院,4142011074,湖北省,荆州市,专科,nan,荆州理工职业学院,112.260171,30.332985,0e56d1d7fcc9445e1b94c673,沙市区
1103,855,1707,武汉城市职业学院,4142011796,湖北省,武汉市,专科,nan,武汉城市职业学院,114.328791,30.482329,bf29b702f57bd3e409b93a18,洪山区
1104,855,1707,武汉城市职业学院,4142011796,湖北省,武汉市,专科,nan,武汉城市职业学院(南校区),114.320914,30.445304,32e733522d974ad5250bd06c,洪山区
1105,855,1707,武汉城市职业学院,4142011796,湖北省,武汉市,专科,nan,武汉城市职业学院南校区-机电工程学院,114.320764,30.448181,a5009bbc3943cb94cf06a40d,洪山区
1106,862,1714,武汉工程职业技术学院,4142012738,湖北省,武汉市,专科,nan,武汉工程职业技术学院(校本部),114.553483,30.718569,341c35defd9381bde6073824,新洲区
1107,862,1714,武汉工程职业技术学院,4142012738,湖北省,武汉市,专科,nan,武汉工程职业技术学院(凤凰山校区),114.428302,30.655896,ee7986a1e0ff3b11e6073892,青山区
1108,862,1714,武汉工程职业技术学院,4142012738,湖北省,武汉市,专科,nan,武汉工程职业技术学院(罗家路校区),114.372497,30.625958,4ed0c1b3f99cabc92dfaa7c0,青山区
1109,869,1721,武汉软件工程职业学院,4142012978,湖北省,武汉市,专科,nan,武汉软件工程职业学院,114.433626,30.450796,d52831f99a3b91a62ffaa780,江夏区
1110,869,1721,武汉软件工程职业学院,4142012978,湖北省,武汉市,专科,nan,武汉软件工程职业学院(武昌校区),114.359666,30.608892,1393a52212dca57e96ca07f8,武昌区
1111,869,1721,武汉软件工程职业学院,4142012978,湖北省,武汉市,专科,nan,武汉软件工程职业学院正源光子学院(创业路),114.429754,30.449724,868e1069941ae142f4b91645,江夏区
1112,874,1726,湖北城市建设职业技术学院,4142012983,湖北省,武汉市,专科,nan,湖北城市建设职业技术学院,114.443373,30.407743,ac8555710625c676a10464df,江夏区
1113,874,1726,湖北城市建设职业技术学院,4142012983,湖北省,武汉市,专科,nan,湖北城市建设职业技术学院家属区,114.35726,30.514438,e092963d96317f442db96d99,洪山区
1114,882,1734,武汉商贸职业学院,4142012991,湖北省教育厅,武汉市,专科,民办,武汉商贸职业学院,114.467834,30.442733,550fd5f999cb4579931fc9df,江夏区
1115,883,1735,湖北艺术职业学院,4142013263,湖北省,武汉市,专科,nan,湖北艺术职业学院,114.378261,30.516706,beabdbf47cec64987169d3e2,洪山区
1116,883,1735,湖北艺术职业学院,4142013263,湖北省,武汉市,专科,nan,湖北艺术职业学院(石牌岭路校区),114.349857,30.531756,7e685ff42ee50f1b465726ee,武昌区
1117,883,1735,湖北艺术职业学院,4142013263,湖北省,武汉市,专科,nan,湖北艺术职业学院(武珞路),114.353553,30.533978,15e1e85e023018a359109389,洪山区
1118,885,1737,咸宁职业技术学院,4142013265,湖北省,咸宁市,专科,nan,咸宁职业技术学院,114.321259,29.832714,7ae24097afc4fc2230169b2b,咸安区
1119,887,1739,江汉艺术职业学院,4142013793,湖北省,潜江市,专科,nan,江汉艺术职业学院,112.91504,30.428779,435d7aea5f1708355abbbc01,
1120,887,1739,江汉艺术职业学院,4142013793,湖北省,潜江市,专科,nan,江汉艺术职业学院(艺术楼东区2),112.914714,30.428543,b4442c14bd3b791bebf853dd,
1121,887,1739,江汉艺术职业学院,4142013793,湖北省,潜江市,专科,nan,江汉艺术职业学院潜江龙虾学院,112.921794,30.395566,f1630187de89c2ddeddfcaf0,
1122,887,1739,江汉艺术职业学院,4142013793,湖北省,潜江市,专科,nan,江汉艺术职业学院-北苑住宿区,112.915299,30.430754,b33c516ef9b451dcae0457eb,
1123,895,1747,湖北科技职业学院,4142014119,湖北省,武汉市,专科,nan,湖北科技职业学院(关山校区),114.410792,30.477711,d146b388bdfc83de750269e3,洪山区
1124,897,1749,湖北工程职业学院,4142014197,湖北省,黄石市,专科,nan,湖北工程职业学院(广州路校区),115.030907,30.191113,41572e0017ae44c9b45f1e68,下陆区
1125,897,1749,湖北工程职业学院,4142014197,湖北省,黄石市,专科,nan,湖北工程职业学院(新校区),115.125244,30.149288,0e11dfe13730b95a43afe694,大冶市
1126,897,1749,湖北工程职业学院,4142014197,湖北省,黄石市,专科,nan,湖北工程职业学院教育学院,115.045879,30.197155,c8ee5476ffed0fd132f71d53,下陆区
1127,900,1752,湖北体育职业学院,4142014356,湖北省,武汉市,专科,nan,湖北体育职业学院,114.457058,30.495571,11f6c0a9ecd9d74cb64f54ab,江夏区
1128,900,1752,湖北体育职业学院,4142014356,湖北省,武汉市,专科,nan,湖北体育职业学院(虎泉校区),114.376943,30.513401,c31998cbe1f06305601c676c,洪山区
1129,901,1753,襄阳汽车职业技术学院,4142014357,湖北省,襄阳市,专科,nan,襄阳汽车职业技术学院,112.096686,31.958622,784931bc8066f4c6fca778f7,襄城区
1130,901,1753,襄阳汽车职业技术学院,4142014357,湖北省,襄阳市,专科,nan,襄阳汽车职业技术学院,112.099973,31.957342,0b4b05a84546f08cebe58203,襄城区
1131,901,1753,襄阳汽车职业技术学院,4142014357,湖北省,襄阳市,专科,nan,襄阳汽车职业技术学院,112.09977,31.956795,ccf97d0eca6cccdb4bcc4a3f,襄城区
1132,901,1753,襄阳汽车职业技术学院,4142014357,湖北省,襄阳市,专科,nan,襄阳汽车职业技术学院,112.100176,31.957889,027a3b65be3d8a85c9fa5f21,襄城区
1133,901,1753,襄阳汽车职业技术学院,4142014357,湖北省,襄阳市,专科,nan,襄阳汽车职业技术学院(常青路校区),112.174147,32.02669,d6638c548942797982a12e34,襄城区
1134,935,1839,湖南邮电职业技术学院,4143012845,湖南省,长沙市,专科,nan,湖南邮电职业技术学院,112.982471,28.16644,9ee392b83ea53a41bbbd6369,天心区
1135,941,1845,湖南艺术职业学院,4143013032,湖南省,长沙市,专科,nan,湖南艺术职业学院(新校区),113.133669,28.262241,261308196d2ade9d5c17c306,长沙县
1136,941,1845,湖南艺术职业学院,4143013032,湖南省,长沙市,专科,nan,湖南艺术职业学院(北院),112.92754,28.217667,a5ef680f53790cd7b9df8f6a,岳麓区
1137,941,1845,湖南艺术职业学院,4143013032,湖南省,长沙市,专科,nan,湖南艺术职业学院(南校区),112.943256,28.173822,e47a0cde928f67eafa0cad0e,岳麓区
1138,957,1861,湖南工艺美术职业学院,4143013921,湖南省,益阳市,专科,nan,湖南工艺美术职业学院,112.341059,28.580762,8ce08904cc2a6c8b725e809b,赫山区
1139,957,1861,湖南工艺美术职业学院,4143013921,湖南省,益阳市,专科,nan,湖南工艺美术职业学院-创新创业教育学院,112.341575,28.581023,632705c12df114ebe856fa54,赫山区
1140,958,1862,湖南九嶷职业技术学院,4143013922,湖南省,永州市,专科,nan,湖南九嶷职业技术学院,111.639001,26.392626,d5baceae3bc6dcab88db73d5,冷水滩区
1141,958,1862,湖南九嶷职业技术学院,4143013922,湖南省,永州市,专科,nan,湖南九嶷职业技术学院,111.639008,26.392629,9bec9dd18b015c0cb4265587,冷水滩区
1142,965,1869,湖南铁路科技职业技术学院,4143013942,湖南省,株洲市,专科,nan,湖南铁路科技职业技术学院衡阳校区,112.605916,26.849869,94fa1e1555dd35f5901fc9bb,雁峰区
1143,966,1870,湖南安全技术职业学院,4143014025,湖南省,长沙市,专科,nan,湖南安全技术职业学院,113.0644,28.276451,9ef7b704941dd4fd16c905dc,长沙县
1144,987,1958,顺德职业技术学院,4144010831,广东省,佛山市,专科,nan,顺德职业技术学院,113.330979,22.815475,0a15c7ecf464c9ffed74f853,顺德区
1145,988,1959,广东轻工职业技术学院,4144010833,广东省,广州市,专科,nan,广东轻工职业技术学院(西北门),113.306068,23.097221,4e9c94f928c9c6dcf72310fc,海珠区
1146,988,1959,广东轻工职业技术学院,4144010833,广东省,广州市,专科,nan,广东轻工职业技术学院-继续教育学院,113.305975,23.097204,f07fab05f97957afabf0cdc8,海珠区
1147,988,1959,广东轻工职业技术学院,4144010833,广东省,广州市,专科,nan,广东轻工职业技术学院停车场(鹭江西街),113.313467,23.097915,723a7211b8fc019eb34c4909,海珠区
1148,1009,1980,广东女子职业技术学院,4144012742,广东省,广州市,专科,nan,广东女子职业技术学院,113.473458,22.963387,f3ca69dcf1fcf898c61b75a7,番禺区
1149,1009,1980,广东女子职业技术学院,4144012742,广东省,广州市,专科,nan,广东女子职业技术学院(海珠校区),113.318049,23.105485,48b809749c99584d9a005050,海珠区
1150,1014,1985,阳江职业技术学院,4144012771,广东省,阳江市,专科,nan,阳江职业技术学院,111.993557,21.848992,bb1d38e4dc23dc4d0d0a708c,江城区
1151,1014,1985,阳江职业技术学院,4144012771,广东省,阳江市,专科,nan,阳江职业技术学院-北区,111.995591,21.851823,cf9925b32b9146740c0e6b24,江城区
1152,1030,2001,茂名职业技术学院,4144013712,广东省,茂名市,专科,nan,茂名职业技术学院(北校区),110.9399,21.680405,5ce2637d2704c751af31e596,茂南区
1153,1030,2001,茂名职业技术学院,4144013712,广东省,茂名市,专科,nan,茂名职业技术学院(南校区),110.984514,21.472931,a7ac2dcc8a28331aa9175a6c,电白区
1154,1030,2001,茂名职业技术学院,4144013712,广东省,茂名市,专科,nan,茂名职业技术学院三二分段校区,110.91569,21.659935,1facc358f214a9a8af31e58a,茂南区
1155,1044,2015,广州科技贸易职业学院,4144014065,广东省,广州市,专科,nan,广州科技贸易职业学院(番禺校区),113.399145,23.006543,c4767c9c1e7aafe87f29bd3a,番禺区
1156,1051,2022,广东南方职业学院,4144014265,广东省教育厅,江门市,专科,民办,广东南方职业学院,113.146046,22.590417,8f68e7ce8e4b8e5d0e3ddafb,江海区
1157,1051,2022,广东南方职业学院,4144014265,广东省教育厅,江门市,专科,民办,广东南方职业学院国际教育学院,113.14658,22.589991,c572392c9c84fa319d9d68dd,江海区
1158,1051,2022,广东南方职业学院,4144014265,广东省教育厅,江门市,专科,民办,广东南方职业学院创新创业学院,113.143286,22.590253,015a3bd9985a8a63b6147f79,江海区
1159,1054,2025,广东环境保护工程职业学院,4144014311,广东省,佛山市,专科,nan,广东环境保护工程职业学院,112.916466,23.054338,bba87388e74c45debca8222e,南海区
1160,1066,2037,广东茂名幼儿师范专科学校,4144014587,广东省,茂名市,专科,nan,广东茂名幼儿师范专科学校(茂名校区),110.843902,21.655698,8ae97f81a11a994194ca07ae,茂南区
1161,1066,2037,广东茂名幼儿师范专科学校,4144014587,广东省,茂名市,专科,nan,广东茂名幼儿师范专科学校(高州校区),110.854197,21.933746,32c7f8ab147734fa61685818,高州市
1162,1092,2101,柳州铁道职业技术学院,4145012392,广西壮族自治区,柳州市,专科,nan,柳州铁道职业技术学院,109.540008,24.401964,e81dbc05bbf97d7b901fc998,鱼峰区
1163,1092,2101,柳州铁道职业技术学院,4145012392,广西壮族自治区,柳州市,专科,nan,柳州铁道职业技术学院运输管理学院(官塘校区),109.540231,24.403435,36961202b38642fcb426559b,鱼峰区
1164,1104,2113,广西工程职业学院,4145014127,广西壮族自治区教育厅,百色市,专科,民办,广西工程职业学院,107.611647,23.32066,f1ecf09129e91e1de01103a7,平果市
