num,uni_num,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,campusName,lng,lat,uid,area
83,22,23,北京中医药大学,4111010026,教育部,北京市,本科,公办,北京中医药大学,116.438854,39.870185,3b10983409d966875fbe8606,丰台区
84,22,23,北京中医药大学,4111010026,教育部,北京市,本科,公办,北京中医药大学东直门医院(国际部),116.423388,39.93695,3fd50e2107e2af186fc02c80,东城区
85,23,24,北京师范大学,4111010027,教育部,北京市,本科,公办,北京师范大学,116.372141,39.967345,86a2784e6fdeb80caecb665c,海淀区
86,23,24,北京师范大学,4111010027,教育部,北京市,本科,公办,北京师范大学(西城校园),116.390422,39.942497,cc0849a0b9d8e15094031902,西城区
87,23,24,北京师范大学,4111010027,教育部,北京市,本科,公办,北京师范大学(新校区),116.271415,40.15528,633d8b9d2a050a2774026992,昌平区
88,23,24,北京师范大学,4111010027,教育部,北京市,本科,公办,北京师范大学(南院),116.37004,39.962908,30a00b0b8d826910220220c3,海淀区
89,23,24,北京师范大学,4111010027,教育部,北京市,本科,公办,北京师范大学,116.377365,39.965531,d1962a6c73f226a7cc06a4f0,海淀区
90,23,24,北京师范大学,4111010027,教育部,北京市,本科,公办,北京师范大学(科培校区),116.230124,39.957538,dcb75abb6271a9fa9222e059,海淀区
91,24,25,首都师范大学,4111010028,北京市,北京市,本科,公办,首都师范大学,116.312068,39.936212,d52831f90c2f03a72ffaa7ad,海淀区
92,24,25,首都师范大学,4111010028,北京市,北京市,本科,公办,首都师范大学(良乡校区),116.185649,39.71881,26e628c11116dd33dcee8b78,房山区
93,24,25,首都师范大学,4111010028,北京市,北京市,本科,公办,首都师范大学(北一区),116.314369,39.943711,c1f7975d70409c77b8bd634b,海淀区
94,24,25,首都师范大学,4111010028,北京市,北京市,本科,公办,首都师范大学(东校区),116.331108,39.930868,ab1ca75c98faaf6340afe620,海淀区
95,24,25,首都师范大学,4111010028,北京市,北京市,本科,公办,首都师范大学附属中学,116.307008,39.936286,3be122e15263a8521ef74d7c,海淀区
