num,uni_num,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,campusName,lng,lat,uid,area,get
854,633,1290,抚州职业技术学院,4136013428,江西省,抚州市,专科,,抚州职业技术学院,116.401229,27.961227,bbeac9361128d6ab33169b49,临川区,1
857,634,1291,江西中医药高等专科学校,4136013775,江西省,抚州市,专科,,江西中医药高等专科学校(新校区),116.403721,27.952499,da17f4febdf768555e0d022a,临川区,1
858,634,1291,江西中医药高等专科学校,4136013775,江西省,抚州市,专科,,江西中医药高等专科学校(老校区),116.364405,27.974593,c6453f641b030b092ad7ab40,临川区,1
859,635,1292,江西经济管理职业学院,4136013866,江西省,南昌市,专科,,江西经济管理职业学院,115.807543,28.645634,60d7bcfc13d3603e43e192f9,红谷滩区,1
860,637,1294,江西工程职业学院,4136013868,江西省,南昌市,专科,,江西工程职业学院,115.904222,28.655707,c7eca12b69d5e437e115f90f,西湖区,1
861,640,1297,江西航空职业技术学院,4136013871,江西省教育厅,南昌市,专科,民办,江西航空职业技术学院(新溪桥东一路),115.930386,28.646036,4fc3161ac947fea93a13fd0f,青云谱区,1
862,640,1297,江西航空职业技术学院,4136013871,江西省教育厅,南昌市,专科,民办,江西航空职业技术学院(昌南校区),115.939569,28.499855,ab0334a811a4ba7d4e5547ae,南昌县,1
864,640,1297,江西航空职业技术学院,4136013871,江西省教育厅,南昌市,专科,民办,江西航空职业技术学院(经开校区),115.905588,28.795449,bd905ac377756455bda240dd,新建区,1
866,651,1308,景德镇陶瓷职业技术学院,4136014402,江西省教育厅,景德镇市,专科,民办,景德镇陶瓷职业技术学院,117.240006,29.366198,8bc85716b08db18c2cb96d86,浮梁县,1
867,659,1316,南昌影视传播职业学院,4136014544,江西省教育厅,南昌市,专科,民办,南昌影视传播职业学院,115.960139,28.749812,f9aeac1598f6eb56cd04ef00,南昌县,1
870,676,1403,山东劳动职业技术学院,4137012329,山东省,济南市,专科,,山东劳动职业技术学院(长清校区),116.824472,36.578294,49a02a7a76bc6a412b201a50,长清区,1
871,676,1403,山东劳动职业技术学院,4137012329,山东省,济南市,专科,,山东劳动职业技术学院(槐荫校区),116.979222,36.652209,7d855d544e7a5aebae0457c7,槐荫区,1
872,679,1406,潍坊职业学院,4137012391,山东省,潍坊市,专科,,潍坊职业学院,119.148671,36.722492,2ad32cc35d47f38e9d95de31,奎文区,1
873,679,1406,潍坊职业学院,4137012391,山东省,潍坊市,专科,,潍坊职业学院(滨海校区),119.212474,37.092191,fa88646564d7a0dedeee8b5a,寒亭区,1
875,684,1411,山东科技职业学院,4137012819,山东省,潍坊市,专科,,山东科技职业学院,119.030401,36.669209,f3c2373c7afbe353d22dd634,潍城区,1
876,684,1411,山东科技职业学院,4137012819,山东省,潍坊市,专科,,山东科技职业学院(滨海校区),119.218922,37.100762,58021c71592850ae018972a2,寒亭区,1
879,690,1417,山东畜牧兽医职业学院,4137012947,山东省,潍坊市,专科,,山东畜牧兽医职业学院(北校区),119.177082,36.714921,f696f3c2b993f2ea1b11d531,奎文区,1
880,690,1417,山东畜牧兽医职业学院,4137012947,山东省,潍坊市,专科,,山东畜牧兽医职业学院(南校区),119.174409,36.709816,1eeed546e2b9598fb5147f5e,奎文区,1
881,696,1423,青岛酒店管理职业技术学院,4137013011,山东省,青岛市,专科,,青岛酒店管理职业技术学院,120.496077,36.175255,687cc92a711082031811d50e,李沧区,1
882,697,1424,山东信息职业技术学院,4137013012,山东省,潍坊市,专科,,山东信息职业技术学院,119.160842,36.71709,41c8c7761519490e1e1d1165,奎文区,1
883,697,1424,山东信息职业技术学院,4137013012,山东省,潍坊市,专科,,山东信息职业技术学院(滨海校区),119.206584,37.088106,a5c7d23c37e90625dc1e52ff,寒亭区,1
885,704,1431,济南职业学院,4137013323,山东省,济南市,专科,,济南职业学院(彩石校区),117.267088,36.639758,341c35deca5ab4bfe607386d,历城区,1
886,704,1431,济南职业学院,4137013323,山东省,济南市,专科,,济南职业学院(南校区),117.031501,36.645702,680fb7032c74479d8ab98881,历下区,1
888,706,1433,潍坊工商职业学院,4137013388,山东省教育厅,潍坊市,专科,民办,潍坊工商职业学院,119.502634,35.963892,4ab687da5d5d35b27069d3cb,诸城市,1
891,723,1450,菏泽家政职业学院,4137014118,山东省,菏泽市,专科,,菏泽家政职业学院,116.105329,34.766419,3083924ecb736da296f08c5f,单县,1
892,724,1451,山东传媒职业学院,4137014193,山东省,济南市,专科,,山东传媒职业学院(章丘校区),117.487517,36.669845,447c70cb40f7107a130daa86,章丘区,1
893,724,1451,山东传媒职业学院,4137014193,山东省,济南市,专科,,山东传媒职业学院(文东校区),117.073695,36.659366,b66eb17426d4d66a4e2fdf6f,历下区,1
894,725,1452,临沂职业学院,4137014195,山东省,临沂市,专科,,临沂职业学院,118.292118,35.016577,b703e96bf43e61f98e1a8980,罗庄区,1
895,725,1452,临沂职业学院,4137014195,山东省,临沂市,专科,,临沂职业学院(经济开发区校区),118.430615,34.99478,96dc37d85e87553743ab9a70,河东区,1
899,736,1463,菏泽职业学院,4137014477,山东省,菏泽市,专科,,菏泽职业学院,115.483858,35.285667,1b72c761216758e0c5f50d5b,牡丹区,1
901,738,1465,威海海洋职业学院,4137014507,山东省,威海市,专科,,威海海洋职业学院,122.445818,37.069794,3df537c8af62aa420c0e6b69,荣成市,1
