,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,countOfCity
544,1117,安徽汽车职业技术学院,4134014298,安徽省,合肥市,专科,,35
545,1118,皖西卫生职业学院,4134014299,安徽省,六安市,专科,,3
546,1119,合肥幼儿师范高等专科学校,4134014330,安徽省,合肥市,专科,,35
547,1120,安徽扬子职业技术学院,4134014342,安徽省教育厅,芜湖市,专科,民办,5
548,1121,安徽黄梅戏艺术职业学院,4134014378,安徽省,安庆市,专科,,4
549,1122,安徽粮食工程职业学院,4134014418,安徽省,合肥市,专科,,35
550,1123,安徽卫生健康职业学院,4134014419,安徽省,池州市,专科,,2
551,1124,合肥科技职业学院,4134014420,安徽省教育厅,合肥市,专科,民办,35
552,1125,皖北卫生职业学院,4134014502,安徽省,宿州市,专科,,3
553,1126,阜阳幼儿师范高等专科学校,4134014536,安徽省,阜阳市,专科,,4
554,1127,黄山健康职业学院,4134014704,安徽省教育厅,黄山市,专科,民办,2
555,1128,宿州航空职业学院,4134014747,安徽省教育厅,宿州市,专科,民办,3
556,1168,福建船政交通职业学院,4135010866,福建省,福州市,专科,,17
557,1169,漳州职业技术学院,4135011314,福建省,漳州市,专科,,5
558,1170,闽西职业技术学院,4135011315,福建省,龙岩市,专科,,1
559,1171,黎明职业大学,4135011317,福建省,泉州市,专科,,11
560,1172,福建华南女子职业学院,4135011499,福建省教育厅,福州市,专科,民办,17
561,1173,福州职业技术学院,4135011502,福建省,福州市,专科,,17
562,1174,福建林业职业技术学院,4135012625,福建省,南平市,专科,,3
563,1175,福建信息职业技术学院,4135012626,福建省,福州市,专科,,17
564,1176,福建水利电力职业技术学院,4135012627,福建省,三明市,专科,,2
565,1177,福建电力职业技术学院,4135012628,福建省,泉州市,专科,,11
566,1178,厦门海洋职业技术学院,4135012629,福建省,厦门市,专科,,9
567,1179,福建农业职业技术学院,4135012630,福建省,福州市,专科,,17
568,1180,福建卫生职业技术学院,4135012633,福建省,福州市,专科,,17
569,1181,泉州医学高等专科学校,4135012634,福建省,泉州市,专科,,11
