FID,num,uni_num,序号,学校名,学校标,主管部,所在地,办学层,备注,campusName,uid,area,lngN,latN,面积
170,100,53,212,张家口职业技术学院,4113011423.000000000000000,河北省,张家口市,专科, ,张家口职业技术学院,4fc3161aef8cd0a93a13fd46,桥东区,114.910620664999996,40.730214142800001,34.5125008
171,298,161,371,内蒙古建筑职业技术学院,4115010871.000000000000000,内蒙古自治区,呼和浩特市,专科, ,内蒙古建筑职业技术学院(北校区),23116913c3ae5afd734b8717,回民区,111.627926156000001,40.872058889500003,60.3769989
172,344,183,393,内蒙古经贸外语职业学院,4115014051.000000000000000,内蒙古自治区教育厅,呼和浩特市,专科,民办,内蒙古经贸外语职业学院,04bdf4a35d028d32354aae31,新城区,111.687786900000006,40.893697848000002,34.4040985
173,343,181,391,内蒙古北方职业技术学院,4115014049.000000000000000,内蒙古自治区教育厅,呼和浩特市,专科,民办,内蒙古北方职业技术学院,1bf85b258dc8f2a4a1a93416,赛罕区,111.835914920999997,40.896006434500002,34.7134018
174,319,167,377,内蒙古电子信息职业技术学院,4115012673.000000000000000,内蒙古自治区,呼和浩特市,专科, ,内蒙古电子信息职业技术学院,e3c36f147fdf30f0e40738ce,赛罕区,111.843760852000003,40.896040171999999,48.2774010
175,313,165,375,呼和浩特职业学院,4115012670.000000000000000,内蒙古自治区,呼和浩特市,专科, ,呼和浩特职业学院(新校区),c5ddcc08873fa0bbd813183c,赛罕区,111.831299040999994,40.895041715200001,86.7258987
176,320,168,378,内蒙古机电职业技术学院,4115012674.000000000000000,内蒙古自治区,呼和浩特市,专科, ,内蒙古机电职业技术学院,0dc3d82d24c9c51175e5b642,赛罕区,111.839982852999995,40.903479143500000,54.1668015
177,323,169,379,内蒙古化工职业学院,4115012675.000000000000000,内蒙古自治区,呼和浩特市,专科, ,内蒙古化工职业学院,41572e00154246c9b45f1e3c,新城区,111.845594847000001,40.905549510599997,50.2976990
178,334,174,384,乌兰察布职业学院,4115013699.000000000000000,内蒙古自治区,乌兰察布市,专科, ,乌兰察布职业学院,f0dbc45fbf776edfac080fba,察哈尔右翼前旗,113.171645667999996,40.973423448900000,53.0987015
179,346,185,395,乌兰察布医学高等专科学校,4115014219.000000000000000,内蒙古自治区,乌兰察布市,专科, ,乌兰察布医学高等专科学校,42519e6dd516671a6268584f,察哈尔右翼前旗,113.161489055999994,40.978679623700003,48.4977989
180,362,198,471,朝阳师范高等专科学校,4121010171.000000000000000,辽宁省,朝阳市,专科, ,朝阳师范高等专科学校,48287eabb823ee2f465726cf,双塔区,120.423648998000004,41.528084435399997,52.3049011
181,388,215,488,沈阳职业技术学院,4121012594.000000000000000,辽宁省,沈阳市,专科, ,沈阳职业技术学院,dad739514f9049344251c0fe,大东区,123.493805934999997,41.868423154600002,36.3851013
182,396,221,494,辽宁经济职业技术学院,4121012899.000000000000000,辽宁省,沈阳市,专科, ,辽宁经济职业技术学院,64ff3be1312eedbb90114cd1,沈北新区,123.485955707000002,41.933828149000000,30.6889992
183,378,208,481,辽宁省交通高等专科学校,4121011500.000000000000000,辽宁省,沈阳市,专科, ,辽宁省交通高等专科学校,01aeb8dfdd32918e0c0a7029,沈北新区,123.505448117000000,41.934077386299997,60.9892006
184,367,202,475,铁岭师范高等专科学校,4121010182.000000000000000,辽宁省,铁岭市,专科, ,铁岭师范高等专科学校,dc0f0adc7ea07d5cf8221359,铁岭县,123.740552917000002,42.248522670699998,34.8841019
