FID,num,campusID,道路结构,name,address,uid,city,type,district,lngN,latN,area,Gn_area,GreenRatio,PlantRatio,AvrNdvi,MassDensity,shapeIndex,绿破碎,绿差异,GreenPatchAreaAvr,绿极大,交叉点,路密度,圈复杂,绿建邻近,建绿比,建植被,城市道路连接性,绿连接,均路长,建均衡,绿均衡
16,21,4132010307,网格型,南京农业大学(卫岗校区),南京市玄武区卫岗1号,f39c6672a14a4f2f4e776ef2,南京市,本科,玄武区,118.8382672,32.03537845,54.2028008,8.8559504,0.163385,22.6063995,10.9687996,0.609633,0.626722,44.3768997,0.045001063,0.022477,0.429806,409.572998,39.4524002,11,3.86569,0.227097,0.141299,6.4815202,0.9787,52.87355583,0.427818,0.13721
17,7,4132010287,网格型,南京航空航天大学(明故宫校区),南京市秦淮区御道街29号,601ee19281e0d66cf603b843,南京市,本科,秦淮区,118.815131,32.0371028,36.4846992,8.1565599,0.223561,47.0116997,24.8789005,0.614074,0.798323,28.1982002,0.081856823,0.0353098,1.08305,312.4599915,32.7240982,32,2.5972099,0.333005,0.314922,7.7228699,0.983692,62.75225562,0.380047,0.232638
18,38,4132010330,无,南京体育学院(灵谷寺校区),南京市玄武区灵谷寺路8号,49a02a7a4f1885402b201aec,南京市,本科,玄武区,118.8617049,32.04635798,40.1927986,14.3912001,0.358054,52.4044991,24.6212997,0.403032,0.710086,12.2992001,0.312961949,0.0808493,3.24716,166.6970062,22.7416992,16,1.5919,0.391647,0.277637,6.7824302,1,97.0064009,0.379816,0.196883
19,17,4132010294,分支型,河海大学(西康路校区),江苏省南京市鼓楼区西康路1号,d7b17526752f03da42d63e8f,南京市,本科,鼓楼区,118.7542953,32.05770398,33.8213997,7.1462202,0.211293,60.2192001,32.6731987,0.594112,0.686103,26.0277004,0.097327958,0.0382151,1.0194499,254.2769928,27.6926003,16,3.1196499,0.297542,0.376211,14.0860004,0.98124,72.70084807,0.161077,0.110743
20,1,4132010284,网格型,南京大学(鼓楼校区),江苏省南京市鼓楼区汉口路22号,a26d3f62be10d143343a712a,南京市,本科,鼓楼区,118.7744206,32.05728617,37.9651985,8.6470299,0.227762,45.4782982,25.8985004,0.683908,0.605574,31.4559002,0.101906776,0.0316741,1.16283,431.9750061,37.0710983,28,2.78409,0.335414,0.329769,10.9125004,0.989077,56.16303237,0.187392,0.132932
21,53,4132011287,环形,南京审计大学(浦口校区),南京市浦口区雨山西路86号,62c2117f458fcf2b744ff13e,南京市,本科,浦口区,118.6032973,32.0651009,119.0469971,39.584301,0.33251,57.1502991,28.5697002,0.256363,0.824584,6.3408999,0.374749555,0.15708,2.7216899,55.4403,10.7453003,14,5.30337,0.392723,0.284381,5.8137102,0.941351,138.3788033,0.234162,0.178257
22,18,4132010298,分支型,南京林业大学(新庄校区),江苏省南京市玄武区龙蟠路159号,d195e502c5bdba02970319ab,南京市,本科,玄武区,118.8118114,32.08071976,93.2451019,34.2462997,0.367272,58.7308006,33.0546989,0.483515,0.64997,16.3813,0.746969939,0.0609365,17.6539001,261.6759949,28.2546005,66,1.93208,0.396454,0.370784,11.2370005,0.997176,68.42724071,0.294484,0.261982
23,68,4132013994,无,南京审计大学金审学院,江苏省南京市栖霞区仙林大道100号,ba149baa157ac7219122e00f,南京市,本科,栖霞区,118.9120967,32.08941904,33.5689011,11.8326998,0.35249,44.1745987,22.7465992,0.355642,0.848224,11.7470999,0.17322249,0.0845191,1.1752599,134.0529938,27.5401001,5,1.2744401,0.427817,0.267068,8.5966101,0.995782,94.17657675,0.227473,0.235309
24,12,4132010291,分支型,南京工业大学,江苏省南京市浦口区浦珠南路30号,1c3ba7fb5d1da274df1e5221,南京市,本科,浦口区,118.6347487,32.08502006,213.6199951,40.6815987,0.190439,53.6912994,27.3127003,0.303031,0.769022,12.1430998,0.302935604,0.082185,3.61379,125.4560013,17.6140003,31,11.0465002,0.200415,0.304439,10.0698004,0.814254,95.5719009,0.205129,0.214656
25,37,4132010329,网格型,江苏警官学院(浦口校区),南京市浦口区石佛寺三宫48号,03f6fc6e65b28fe2c71e51b0,南京市,本科,浦口区,118.651707,32.0950126,43.887001,16.7931995,0.382646,39.9980011,16.0226002,0.328295,0.681094,9.9445,0.310549487,0.0999598,3.4435599,118.4860001,19.8813,17,1.08148,0.465223,0.19003,12.0728998,0.994048,115.181251,0.290993,0.162654
26,27,4132010315,复合型,南京中医药大学(仙林校区),江苏省南京市栖霞区仙林大道138号,15e1e85eab4b81bb5810934c,南京市,本科,栖霞区,118.9405621,32.10386783,72.1736984,26.6280994,0.368945,40.4906998,18.7082005,0.34516,0.670802,16.0356998,0.238193172,0.0622153,3.61836,178.7350006,27.0919991,51,1.15071,0.426447,0.212769,6.4005599,0.992194,80.76327636,0.201181,0.208551
27,86,4132013106,环形,南京铁道职业技术学院(浦口校区),江苏省南京市浦口区珍珠南路65号,babe236f19c5571c2fb908f7,南京市,专科,浦口区,118.6937537,32.10371708,53.3618011,19.2541008,0.360822,47.6291008,20.2877007,0.277569,0.846751,13.1920004,0.341063052,0.0755063,4.3378801,181.7779999,20.5930004,15,1.3591,0.382289,0.199881,18.9097996,0.965741,74.92555466,0.200948,0.209317
28,33,4132010327,分支型,南京财经大学(仙林校区),江苏南京市仙林大学城文苑路3号,21067036d26eef739e95decd,南京市,本科,栖霞区,118.917658,32.10974417,88.5195999,37.3809013,0.42229,41.7282982,21.5671005,0.31517,0.538244,8.2395,0.679763707,0.120974,11.2075996,204.473999,30.8523998,55,0.450885,0.460137,0.241106,10.2561998,0.980108,75.60824175,0.230358,0.192564
29,13,4132010293,环形,南京邮电大学(仙林校区),江苏省南京市栖霞区文苑路9号,bbf5fedaa64e73a55abbbca2,南京市,本科,栖霞区,118.9258327,32.11577413,125.0390015,72.3050995,0.57826,51.3541985,23.7574005,0.263799,0.785939,5.0065598,1.156306193,0.199188,18.0855999,150.3529968,19.7287006,51,3.3635299,0.575475,0.226457,9.1155596,0.986612,73.67636704,0.185738,0.230019
30,44,4132010850,环形,南京工业职业技术大学(仙林校区),江苏省南京市栖霞区仙林大学城羊山北路1号,285b5874c43858e4cf06a4bb,南京市,本科,栖霞区,118.9355265,32.12269738,72.9997025,39.0682983,0.535184,51.1041985,23.7395992,0.261534,0.839165,4.1721802,0.961612015,0.238221,7.3018498,169.8639984,19.0904999,39,0.783541,0.485581,0.222769,7.7898402,0.988742,67.73356957,0.212668,0.247811
31,2,4132010284,分支型,南京大学(仙林校区),江苏省南京市栖霞区仙林大道163号,cfe4cb9504cf581697f08c65,南京市,本科,栖霞区,118.9534499,32.1215516,246.628006,120.6800003,0.48932,52.5309982,29.8619003,0.317947,0.847879,7.1677198,2.161362152,0.139353,62.6766014,166.647995,20.1511993,134,4.95293,0.466511,0.268537,7.5395098,0.974176,77.07502322,0.236279,0.266138
