FID,Join_Count,FID_,num,campusID,name,address,uid,city,type,district,lngN,latN,area,Gn_area,绿地率,植被率,平均ndvi,建筑密,轮廓紧,绿破碎,绿差异,绿均值,绿极大,交叉点,路密度,圈复杂,绿_建,建绿比,建植被,交叉密,绿连接,均路长,建均衡,绿均衡,contextGn,river,tree,bush,总,grass,多样性
10,61,10,51,4132011276.000000000000000,南京工程学院(江宁校区),江苏省南京市江宁区弘景大道1号,45dcd841566152c058f6be32,南京市,本科,江宁区,118.877012641999997,31.924980388500000,170.3220062,99.1129990,0.5819150,40.4370995,19.5690994,0.2695500,0.9087080,2.8250599,1.822873311180000,0.3527150,22.8628998,62.8222008,11.6677999,45,1.3175400,0.5800770,0.2329940,5.7624002,0.9818340,116.352616435000002,0.2383570,0.2776260,0.0483078,0.2958820,0.2226640,0.3226110,978148.0000000,0.1588450,1.3520000
11,19,11,71,4132012047.000000000000000,江苏经贸职业技术学院(江宁校区),江苏省南京市江宁区龙眠大道180号,50fb64ff430ab720e9f853f0,南京市,专科,江宁区,118.879870605999997,31.933672118899999,40.3499985,18.1023998,0.4486340,40.3792000,18.8530006,0.2858240,0.8330710,7.2918501,0.306874206484000,0.1361080,2.2026701,109.0459976,14.4466000,17,0.9324020,0.5173140,0.2219240,7.1273999,0.9931280,91.042508154900005,0.2088610,0.1709530,0.0340797,0.0555060,0.2383690,0.4879710,172505.0000000,0.2181560,1.1845599
12,39,12,8,4132010287.000000000000000,南京航空航天大学(将军路校区),南京市江宁区将军大道29号,7841f8835766c249adcb660c,南京市,本科,江宁区,118.787132693999993,31.940257134199999,108.1529999,42.4748993,0.3927300,36.4720001,17.4787006,0.3650290,0.7523980,8.8051996,0.439052614807000,0.1132660,5.7987299,163.6569977,18.2495003,49,1.6504800,0.4734460,0.2066200,4.6244998,0.9900050,68.147097082900004,0.2466590,0.1834290,0.1130100,0.0565119,0.2583540,0.5001190,418082.0000000,0.1850150,1.1707500
13,35,13,25,4132010312.000000000000000,南京医科大学(江宁校区),南京市江宁区龙眠大道101号,9ee392b8fdcdfd3fbabd63bf,南京市,本科,江宁区,118.886143508999993,31.939996397300000,82.6726990,31.0461006,0.3755300,47.1643982,20.2716007,0.2989020,0.8257710,6.2487702,0.487881175090000,0.1592110,5.7197499,97.9766998,15.4989996,24,2.7814500,0.4516040,0.2375700,7.9943900,0.9347870,104.167918791999995,0.2486490,0.3039130,0.0010549,0.1319350,0.2193520,0.2868770,449184.0000000,0.3618370,1.3260500
14,46,14,23,4132010307.000000000000000,南京农业大学(江北校区),江苏省南京市浦口区滨江大道绿水湾湿地公园西700米,7754066737a3b35290114c94,南京市,本科,浦口区,118.631843183000001,32.011089465500000,124.0530014,2.6218300,0.0211348,14.4035997,5.7961102,0.4601160,0.8817450,2.2884800,0.337279725081000,0.3745470,0.7880230,32.2443008,7.7761798,-18,178.8580017,0.0174693,0.0542280,8.9229898,0.1166650,459.243616369999984,0.2657960,0.1673730,0.2203940,0.0566304,0.2054950,0.2565170,189407.0000000,0.4813590,1.1887100
15,50,15,9,4132010288.000000000000000,南京理工大学,江苏省南京市玄武区孝陵卫街200号,6a54e04787fe6185c4f0251a,南京市,本科,玄武区,118.851544120000000,32.030668582799997,144.9920044,37.4847984,0.2585300,31.2317009,16.4067993,0.5157860,0.7226050,20.5149994,0.220739967633000,0.0486815,3.9814501,213.8049927,21.6679993,96,6.4971900,0.3253700,0.2018650,8.5646400,0.9330170,69.325036429299999,0.2309970,0.1704710,0.1584290,0.0808742,0.3773570,0.4162430,492679.0000000,0.1255270,1.1964700
16,24,16,21,4132010307.000000000000000,南京农业大学(卫岗校区),南京市玄武区卫岗1号,f39c6672a14a4f2f4e776ef2,南京市,本科,玄武区,118.838267153000004,32.035378452800003,54.2028008,8.8559504,0.1633850,22.6063995,10.9687996,0.6096330,0.6267220,44.3768997,0.045001062943400,0.0224770,0.4298060,409.5729980,39.4524002,11,3.8656900,0.2270970,0.1412990,6.4815202,0.9787000,52.873555827899999,0.4278180,0.1372100,0.1793490,0.0154750,0.3214630,0.4345460,124459.0000000,0.2285150,1.1288199
17,16,17,7,4132010287.000000000000000,南京航空航天大学(明故宫校区),南京市秦淮区御道街29号,601ee19281e0d66cf603b843,南京市,本科,秦淮区,118.815131012999998,32.037102796100001,36.4846992,8.1565599,0.2235610,47.0116997,24.8789005,0.6140740,0.7983230,28.1982002,0.081856822794100,0.0353098,1.0830500,312.4599915,32.7240982,32,2.5972099,0.3330050,0.3149220,7.7228699,0.9836920,62.752255622400000,0.3800470,0.2326380,0.0363450,0.0719269,0.4648100,0.2497970,184814.0000000,0.2134650,1.2215700
18,16,18,38,4132010330.000000000000000,南京体育学院(灵谷寺校区),南京市玄武区灵谷寺路8号,49a02a7a4f1885402b201aec,南京市,本科,玄武区,118.861704888999995,32.046357974999999,40.1927986,14.3912001,0.3580540,52.4044991,24.6212997,0.4030320,0.7100860,12.2992001,0.312961948778000,0.0808493,3.2471600,166.6970062,22.7416992,16,1.5919000,0.3916470,0.2776370,6.7824302,1.0000000,97.006400898099997,0.3798160,0.1968830,0.4190980,0.0283606,0.2552880,0.4935930,216776.0000000,0.2227610,1.1326100
19,14,19,17,4132010294.000000000000000,河海大学(西康路校区),江苏省南京市鼓楼区西康路1号,d7b17526752f03da42d63e8f,南京市,本科,鼓楼区,118.754295259000003,32.057703983700002,33.8213997,7.1462202,0.2112930,60.2192001,32.6731987,0.5941120,0.6861030,26.0277004,0.097327958047100,0.0382151,1.0194499,254.2769928,27.6926003,16,3.1196499,0.2975420,0.3762110,14.0860004,0.9812400,72.700848073399996,0.1610770,0.1107430,0.1362590,0.0024384,0.5118560,0.3076080,204168.0000000,0.1780960,1.0274100
