num,uni_num,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,campusName,lng,lat,uid,area,get,lngN,latN
213,114,307,长治职业技术学院,4114012388,山西省,长治市,专科,,长治职业技术学院(北校区),113.138337,36.222086,0a0704248dc3473ddbecedf9,潞州区,1,113.125206025747,36.2158952995241
214,114,307,长治职业技术学院,4114012388,山西省,长治市,专科,,长治职业技术学院(东校区),113.125494,36.189413,09185c5687cc4b5cf019378a,潞州区,1,113.112272615904,36.183432556376
218,115,308,山西艺术职业学院,4114012704,山西省,太原市,专科,,山西艺术职业学院,112.579999,37.858856,589aaddd7c8950ebaeb22a8a,迎泽区,1,112.567318845964,37.8521001418586
219,115,308,山西艺术职业学院,4114012704,山西省,太原市,专科,,山西艺术职业学院(奶生堂校区),112.565277,37.877417,5c56edd624ab045ba1d2305a,杏花岭区,1,112.552610665969,37.8705658743278
220,115,308,山西艺术职业学院,4114012704,山西省,太原市,专科,,山西艺术职业学院(影视传媒分院),112.481838,37.858143,e96b4420de326c5a82288a6e,万柏林区,1,112.468729367252,37.8514845563048
221,116,309,晋城职业技术学院,4114012774,山西省,晋城市,专科,,晋城职业技术学院,112.879333,35.494757,af1ae56b8db6bb134207c14f,城区,1,112.866682349198,35.4894659061813
222,117,310,山西药科职业学院,4114012776,山西省,太原市,专科,,山西药科职业学院,112.657831,37.782726,d305db1f84f81f40922ca3b3,小店区,1,112.645063511416,37.7761781382059
226,119,312,山西机电职业技术学院,4114012888,山西省,长治市,专科,,山西机电职业技术学院,113.141,36.2144,7d5f3a0a39a6574a2db90885,城区,1,113.127888718059,36.2081678692674
227,119,312,山西机电职业技术学院,4114012888,山西省,长治市,专科,,山西机电职业技术学院(东湖校区),113.069469,36.547204,78b79164bd2ce747d52ce27d,襄垣县,1,113.056361506111,36.5408223322509
231,121,314,山西林业职业技术学院,4114012891,山西省,太原市,专科,,山西林业职业技术学院,112.54596,37.901799,3245ad6ceeee96e513293568,杏花岭区,1,112.533185523889,37.8950874329472
232,122,315,山西水利职业技术学院,4114012892,山西省,运城市,专科,,山西水利职业技术学院(运城校区),111.041357,35.059046,9fbfeef20e823944ede4a53a,盐湖区,1,111.028905668805,35.0537704086092
233,123,316,阳泉职业技术学院,4114012893,山西省,阳泉市,专科,,阳泉职业技术学院,113.633472,37.894388,bd95e3444babd2ec8f1a89a7,郊区,1,113.620686329738,37.8876273224747
235,124,317,临汾职业技术学院,4114013171,山西省,临汾市,专科,,临汾职业技术学院,111.622562,36.065525,5ce2637d6ab31250ae31e52b,尧都区,1,111.610043641659,36.059554931641
236,124,317,临汾职业技术学院,4114013171,山西省,临汾市,专科,,临汾职业技术学院(二校区),111.538802,36.112281,50fb64ff3d25255ce9f853dc,尧都区,1,111.526016625842,36.1067316648886
237,125,318,山西职业技术学院,4114013528,山西省,太原市,专科,,山西职业技术学院,112.589978,37.801789,d7624d36c2c010d409a8d446,小店区,1,112.577279878972,37.7951834912664
238,125,318,山西职业技术学院,4114013528,山西省,太原市,专科,,山西职业技术学院(长风校区),112.605131,37.818073,5b25f446625d54eb1029355f,迎泽区,1,112.592336598784,37.8117336470409
239,126,319,山西金融职业学院,4114013530,山西省,太原市,专科,,山西金融职业学院,112.536367,37.960281,af1ae56b11fe276f4307c182,尖草坪区,1,112.523462368741,37.9537056882987
240,127,320,太原城市职业技术学院,4114013532,山西省,太原市,专科,,太原城市职业技术学院,112.535568,37.895979,f5e3bcaecab2f2c05e17c35a,尖草坪区,1,112.522701010601,37.8894155489368
242,128,321,山西信息职业技术学院,4114013541,山西省教育厅,临汾市,专科,民办,山西信息职业技术学院,111.550161,36.129509,9ab9d030ba9788662cb17ec7,尧都区,1,111.537383198184,36.1240007750019
243,129,322,山西体育职业学院,4114013692,山西省,太原市,专科,,山西体育职业学院,112.569938,37.786514,9b17ea23a520aa3a4054d70b,小店区,1,112.557296165702,37.7796648472385
244,130,323,山西警官职业学院,4114013693,山西省,太原市,专科,,山西警官职业学院,112.602982,37.828457,1020060f2416a7a71894c65f,迎泽区,1,112.590191457981,37.8220813403593
246,131,324,山西国际商务职业学院,4114013694,山西省,太原市,专科,,山西国际商务职业学院,112.60751,37.815655,9c42c090f82381b35b10937e,小店区,1,112.594705751088,37.8093530331298
247,132,325,潞安职业技术学院,4114013695,山西省,长治市,专科,,潞安职业技术学院,112.997362,36.447193,b3aa435d8cee440a1476439f,襄垣县,1,112.98441415154,36.441464713467
248,133,326,太原旅游职业学院,4114013696,山西省,太原市,专科,,太原旅游职业学院,112.606566,37.69948,9f97b1c5deb8007bb64f544f,小店区,1,112.593776935721,37.6931529320131
250,134,327,山西旅游职业学院,4114013697,山西省,太原市,专科,,山西旅游职业学院,112.627041,37.810224,a7c56ee06c650eb2a3acc45f,小店区,1,112.614180292862,37.8040708538021
251,135,328,山西管理职业学院,4114013698,山西省,临汾市,专科,,山西管理职业学院,111.513094,36.147102,4edf9fbf3348d295cc06a42a,尧都区,1,111.500312239908,36.1410935299588
255,137,330,忻州职业技术学院,4114013821,山西省,忻州市,专科,,忻州职业技术学院,112.741829,38.477165,e96b4420c8c77a5882288a63,忻府区,1,112.728658985286,38.4709143648638
256,138,331,山西同文职业技术学院,4114013862,山西省教育厅,晋中市,专科,民办,山西同文职业技术学院,111.893697,37.037491,c8b5cdef917c9802130daa3d,介休市,1,111.880902266512,37.0315213891869
257,139,332,晋中职业技术学院,4114013913,山西省,晋中市,专科,,晋中职业技术学院(东校区),112.727655,37.692277,7d5f3a0a5e9b72352db908b5,榆次区,1,112.71463470767,37.6858040979169
258,140,333,山西华澳商贸职业学院,4114013914,山西省教育厅,晋中市,专科,民办,山西华澳商贸职业学院,112.646329,37.677796,e913667dc27b53eeb1077d93,榆次区,1,112.633522636438,37.6714513062896
259,142,335,运城幼儿师范高等专科学校,4114014093,山西省,运城市,专科,,运城幼儿师范高等专科学校,111.071194,35.10486,d5f93c0ed96e665deddfca35,盐湖区,1,111.058563598609,35.0997094546876
261,143,336,山西老区职业技术学院,4114014105,山西省教育厅,太原市,专科,民办,山西老区职业技术学院,112.520878,37.907786,34059f97466b485771455b33,尖草坪区,1,112.507875658382,37.9014105867973
262,144,337,山西经贸职业学院,4114014177,山西省,太原市,专科,,山西经贸职业学院(南校区),112.455811,37.735204,55fa2c0b6faac72e1ce99973,晋源区,1,112.442773971027,37.7280816701934
263,144,337,山西经贸职业学院,4114014177,山西省,太原市,专科,,山西经贸职业学院,112.535963,37.845693,923ffd001c1440b6d92f285a,万柏林区,1,112.523070015379,37.8391030001182
265,145,338,朔州职业技术学院,4114014186,山西省,朔州市,专科,,朔州职业技术学院,112.41351,39.307274,beabdbf453df8f997169d3b3,朔城区,1,112.400123231942,39.3001607706106
267,146,339,山西铁道职业技术学院,4114014247,山西省,太原市,专科,,山西铁道职业技术学院,112.621381,37.886867,f757e6ee5daba014260bd065,杏花岭区,1,112.608541342614,37.8807243589995
268,147,340,晋中师范高等专科学校,4114014270,山西省,晋中市,专科,,晋中师范高等专科学校,112.74022,37.731398,05dd7d5f789a7f00ad080f10,榆次区,1,112.727123198661,37.7250446093762
269,148,341,阳泉师范高等专科学校,4114014271,山西省,阳泉市,专科,,阳泉师范高等专科学校,113.624736,37.809602,6875a583d4ab9907bda2407c,平定县,1,113.61190133828,37.8029493421024
270,149,342,山西青年职业学院,4114014336,山西省,太原市,专科,,山西青年职业学院,112.606306,37.704114,e331439a7451f1086140a9d5,小店区,1,112.593514611127,37.6977819858224
271,150,343,运城护理职业学院,4114014397,山西省,运城市,专科,,运城护理职业学院,110.929394,35.124474,11ff142e04effbce12882488,盐湖区,1,110.917354146467,35.1195249327894
278,152,345,朔州师范高等专科学校,4114014462,山西省,朔州市,专科,,朔州师范高等专科学校,112.463009,39.382779,b723bc8817c6b20a0aa8d476,朔城区,1,112.449755800023,39.3754017204931
279,153,346,吕梁职业技术学院,4114014500,山西省,吕梁市,专科,,吕梁职业技术学院,111.773904,37.125556,a9221fd06ff270b2da2f280e,孝义市,1,111.760848941042,37.1193489688797
