FID,num,序号,学校名,学校标,主管部,所在地,办学层,备注,campusName,uid,area,lngN,latN,面积,lngC,latC
1209,53,128,天津机电职业技术学院,4112012721.000000000000000,天津市,天津市,专科, ,天津机电职业技术学院,a9c6e4f663e6825202ec01f3,津南区,117.348226846000003,39.012914408500002,30.3411007,117.348199025000000,39.012935597000002
1210,54,129,天津现代职业技术学院,4112012722.000000000000000,天津市,天津市,专科, ,天津现代职业技术学院,ba2e94cc5d8ffe9b932ca32e,津南区,117.361900969999994,39.018269472599997,35.0045013,117.361944734999994,39.018272560699998
1211,56,131,天津轻工职业技术学院,4112012732.000000000000000,天津市,天津市,专科, ,天津轻工职业技术学院,5c5d7e98087174ed8bdb7337,津南区,117.366925187999996,39.021259020999999,34.1138000,117.366818577000004,39.021265099300003
1212,46,124,天津滨海职业学院,4112012484.000000000000000,天津市,天津市,专科, ,天津滨海职业学院,ca25bf47b38c4d06c9fa5f06,滨海新区,117.636940229000004,39.067491582700001,58.1615982,117.637038638000007,39.067462954900002
1213,200,266,曹妃甸职业技术学院,4113014601.000000000000000,河北省教育厅,唐山市,专科,民办,曹妃甸职业技术学院,27f51aa7dd15d318704b8775,曹妃甸区,118.594729486999995,39.182270635099997,33.8858986,118.594509032999994,39.182300028199997
1214,207,270,唐山海运职业学院,4113014696.000000000000000,河北省教育厅,唐山市,专科,民办,唐山海运职业学院,e5d7f880b495a66ea1d23088,曹妃甸区,118.589923885000005,39.186135714400002,38.3988991,118.594411913000002,39.187843831199999
1215,129,226,唐山工业职业技术学院,4113012787.000000000000000,河北省,唐山市,专科, ,唐山工业职业技术学院(曹妃甸校区),d42ac90e2754bdcb2b201ab2,曹妃甸区,118.562847813000005,39.199542180700000,76.0311966,118.562862632000005,39.199559043500003
1216,265,338,朔州职业技术学院,4114014186.000000000000000,山西省,朔州市,专科, ,朔州职业技术学院,beabdbf453df8f997169d3b3,朔城区,112.400123231999999,39.300160770600002,33.3171997,112.399830264000002,39.300883540800001
1217,278,345,朔州师范高等专科学校,4114014462.000000000000000,山西省,朔州市,专科, ,朔州师范高等专科学校,b723bc8817c6b20a0aa8d476,朔城区,112.449755800000005,39.375401720500001,39.2563019,112.449912961999999,39.375522370900001
1218,124,224,唐山职业技术学院,4113012785.000000000000000,河北省,唐山市,专科, ,唐山职业技术学院,ad258d353ee3ca26cc06a4f9,丰南区,118.084514216000002,39.583685288300003,32.3326988,118.084801356000000,39.584052713399998
1219,347,396,鄂尔多斯职业学院,4115014248.000000000000000,内蒙古自治区,鄂尔多斯市,专科, ,鄂尔多斯职业学院,fc1d78a902018e4bb6147fbf,康巴什区,109.818143946000006,39.615465167499998,55.0923004,109.819456135999999,39.615493004199998
1220,356,405,鄂尔多斯生态环境职业学院,4115014501.000000000000000,内蒙古自治区,鄂尔多斯市,专科, ,鄂尔多斯生态环境职业学院,5baf948483cbc00200ff2d99,康巴什区,109.822360407999994,39.624398940799999,55.8436012,109.821948860000006,39.624947726300000
1221,5,70,北京电子科技职业学院,4111010858.000000000000000,北京市,北京市,专科, ,北京电子科技职业学院(亦庄校区),69fcd6df1fc9fa2fcb291598,大兴区,116.502961675999998,39.769467050899998,48.6311989,116.502966228000005,39.769492749599998
1222,14,74,北京农业职业学院,4111012448.000000000000000,北京市,北京市,专科, ,北京农业职业学院,b7b222953272a624ad31e526,房山区,116.222244216000007,39.771162510200000,51.5152016,116.220760247000001,39.772327003400001
1223,120,221,秦皇岛职业技术学院,4113012773.000000000000000,河北省,秦皇岛市,专科, ,秦皇岛职业技术学院,efed8e3bc83d37d1bda2404b,北戴河区,119.475511436000005,39.838127920399998,44.5402985,119.474906688000004,39.838223302300001
1224,293,351,山西通用航空职业技术学院,4114014697.000000000000000,山西省,大同市,专科, ,山西通用航空职业技术学院,2432afd98f1a83dd902ca371,云州区,113.390651425000001,39.936617386000002,32.3844986,113.388095131000000,39.935754649300002
1225,190,257,廊坊燕京职业技术学院,4113014280.000000000000000,河北省,廊坊市,专科, ,廊坊燕京职业技术学院,30c818eafb9d70fe01294f42,三河市,116.984138622000003,39.969445076000000,36.2821999,116.983543243000000,39.969554176800003
