序号,学校名称,学校标识码,主管部门,所在地,办学层次,办学方式
602,齐齐哈尔大学,4123010232,黑龙江省,齐齐哈尔市,本科,公办
603,牡丹江师范学院,4123010233,黑龙江省,牡丹江市,本科,公办
604,哈尔滨学院,4123010234,黑龙江省,哈尔滨市,本科,公办
605,大庆师范学院,4123010235,黑龙江省,大庆市,本科,公办
606,绥化学院,4123010236,黑龙江省,绥化市,本科,公办
607,哈尔滨商业大学,4123010240,黑龙江省,哈尔滨市,本科,公办
608,哈尔滨体育学院,4123010242,黑龙江省,哈尔滨市,本科,公办
609,哈尔滨金融学院,4123010245,黑龙江省,哈尔滨市,本科,公办
610,齐齐哈尔医学院,4123011230,黑龙江省,齐齐哈尔市,本科,公办
611,黑龙江工业学院,4123011445,黑龙江省,鸡西市,本科,公办
612,黑龙江东方学院,4123011446,黑龙江省教育厅,哈尔滨市,本科,民办
613,哈尔滨信息工程学院,4123011635,黑龙江省教育厅,哈尔滨市,本科,民办
614,黑龙江工程学院,4123011802,黑龙江省,哈尔滨市,本科,公办
615,齐齐哈尔工程学院,4123012729,黑龙江省教育厅,齐齐哈尔市,本科,民办
616,黑龙江外国语学院,4123013296,黑龙江省教育厅,哈尔滨市,本科,民办
617,黑龙江财经学院,4123013298,黑龙江省教育厅,哈尔滨市,本科,民办
618,哈尔滨石油学院,4123013299,黑龙江省教育厅,哈尔滨市,本科,民办
619,黑龙江工商学院,4123013300,黑龙江省教育厅,哈尔滨市,本科,民办
620,哈尔滨远东理工学院,4123013301,黑龙江省教育厅,哈尔滨市,本科,民办
621,哈尔滨剑桥学院,4123013303,黑龙江省教育厅,哈尔滨市,本科,民办
622,黑龙江工程学院昆仑旅游学院,4123013304,黑龙江省教育厅,哈尔滨市,本科,民办
623,哈尔滨广厦学院,4123013306,黑龙江省教育厅,哈尔滨市,本科,民办
624,哈尔滨华德学院,4123013307,黑龙江省教育厅,哈尔滨市,本科,民办
625,黑河学院,4123013744,黑龙江省,黑河市,本科,公办
626,哈尔滨音乐学院,4123014560,黑龙江省,哈尔滨市,本科,公办
668,复旦大学,4131010246,教育部,上海市,本科,公办
669,同济大学,4131010247,教育部,上海市,本科,公办
670,上海交通大学,4131010248,教育部,上海市,本科,公办
671,华东理工大学,4131010251,教育部,上海市,本科,公办
672,上海理工大学,4131010252,上海市,上海市,本科,公办
673,上海海事大学,4131010254,上海市,上海市,本科,公办
674,东华大学,4131010255,教育部,上海市,本科,公办
675,上海电力大学,4131010256,上海市,上海市,本科,公办
676,上海应用技术大学,4131010259,上海市,上海市,本科,公办
677,上海健康医学院,4131010262,上海市,上海市,本科,公办
678,上海海洋大学,4131010264,上海市,上海市,本科,公办
679,上海中医药大学,4131010268,上海市,上海市,本科,公办
680,华东师范大学,4131010269,教育部,上海市,本科,公办
681,上海师范大学,4131010270,上海市,上海市,本科,公办
682,上海外国语大学,4131010271,教育部,上海市,本科,公办
683,上海财经大学,4131010272,教育部,上海市,本科,公办
684,上海对外经贸大学,4131010273,上海市,上海市,本科,公办
