FID,num,campusID,name,address,uid,city,type,district,lngN,latN,area
11,71,4132012047.000000000000000,江苏经贸职业技术学院(江宁校区),江苏省南京市江宁区龙眠大道180号,50fb64ff430ab720e9f853f0,南京市,专科,江宁区,118.879870605999997,31.933672118899999,40.3499985
12,8,4132010287.000000000000000,南京航空航天大学(将军路校区),南京市江宁区将军大道29号,7841f8835766c249adcb660c,南京市,本科,江宁区,118.787132693999993,31.940257134199999,108.1529999
13,25,4132010312.000000000000000,南京医科大学(江宁校区),南京市江宁区龙眠大道101号,9ee392b8fdcdfd3fbabd63bf,南京市,本科,江宁区,118.886143508999993,31.939996397300000,82.6726990
14,23,4132010307.000000000000000,南京农业大学(江北校区),江苏省南京市浦口区滨江大道绿水湾湿地公园西700米,7754066737a3b35290114c94,南京市,本科,浦口区,118.631843183000001,32.011089465500000,124.0530014
15,9,4132010288.000000000000000,南京理工大学,江苏省南京市玄武区孝陵卫街200号,6a54e04787fe6185c4f0251a,南京市,本科,玄武区,118.851544120000000,32.030668582799997,144.9920044
16,21,4132010307.000000000000000,南京农业大学(卫岗校区),南京市玄武区卫岗1号,f39c6672a14a4f2f4e776ef2,南京市,本科,玄武区,118.838267153000004,32.035378452800003,54.2028008
17,7,4132010287.000000000000000,南京航空航天大学(明故宫校区),南京市秦淮区御道街29号,601ee19281e0d66cf603b843,南京市,本科,秦淮区,118.815131012999998,32.037102796100001,36.4846992
18,38,4132010330.000000000000000,南京体育学院(灵谷寺校区),南京市玄武区灵谷寺路8号,49a02a7a4f1885402b201aec,南京市,本科,玄武区,118.861704888999995,32.046357974999999,40.1927986
19,17,4132010294.000000000000000,河海大学(西康路校区),江苏省南京市鼓楼区西康路1号,d7b17526752f03da42d63e8f,南京市,本科,鼓楼区,118.754295259000003,32.057703983700002,33.8213997
20,1,4132010284.000000000000000,南京大学(鼓楼校区),江苏省南京市鼓楼区汉口路22号,a26d3f62be10d143343a712a,南京市,本科,鼓楼区,118.774420629999995,32.057286172600001,37.9651985
21,53,4132011287.000000000000000,南京审计大学(浦口校区),南京市浦口区雨山西路86号,62c2117f458fcf2b744ff13e,南京市,本科,浦口区,118.603297345000001,32.065100895199997,119.0469971
22,18,4132010298.000000000000000,南京林业大学(新庄校区),江苏省南京市玄武区龙蟠路159号,d195e502c5bdba02970319ab,南京市,本科,玄武区,118.811811431999999,32.080719762199998,93.2451019
23,68,4132013994.000000000000000,南京审计大学金审学院,江苏省南京市栖霞区仙林大道100号,ba149baa157ac7219122e00f,南京市,本科,栖霞区,118.912096720999998,32.089419044300001,33.5689011
24,12,4132010291.000000000000000,南京工业大学,江苏省南京市浦口区浦珠南路30号,1c3ba7fb5d1da274df1e5221,南京市,本科,浦口区,118.634748737999999,32.085020061599998,213.6199951
25,37,4132010329.000000000000000,江苏警官学院(浦口校区),南京市浦口区石佛寺三宫48号,03f6fc6e65b28fe2c71e51b0,南京市,本科,浦口区,118.651707032999994,32.095012596799997,43.8870010
26,27,4132010315.000000000000000,南京中医药大学(仙林校区),江苏省南京市栖霞区仙林大道138号,15e1e85eab4b81bb5810934c,南京市,本科,栖霞区,118.940562129000000,32.103867827000002,72.1736984
27,86,4132013106.000000000000000,南京铁道职业技术学院(浦口校区),江苏省南京市浦口区珍珠南路65号,babe236f19c5571c2fb908f7,南京市,专科,浦口区,118.693753676000000,32.103717077699997,53.3618011
28,33,4132010327.000000000000000,南京财经大学(仙林校区),江苏南京市仙林大学城文苑路3号,21067036d26eef739e95decd,南京市,本科,栖霞区,118.917658005999996,32.109744171700001,88.5195999
29,13,4132010293.000000000000000,南京邮电大学(仙林校区),江苏省南京市栖霞区文苑路9号,bbf5fedaa64e73a55abbbca2,南京市,本科,栖霞区,118.925832747000001,32.115774131499997,125.0390015
30,44,4132010850.000000000000000,南京工业职业技术大学(仙林校区),江苏省南京市栖霞区仙林大学城羊山北路1号,285b5874c43858e4cf06a4bb,南京市,本科,栖霞区,118.935526502000002,32.122697381999998,72.9997025
31,2,4132010284.000000000000000,南京大学(仙林校区),江苏省南京市栖霞区仙林大道163号,cfe4cb9504cf581697f08c65,南京市,本科,栖霞区,118.953449899000006,32.121551598400004,246.6280060
32,11,4132010288.000000000000000,南京理工大学(紫金校区),江苏省南京市栖霞区文澜路89号,438f6111a5448715f8dc85d1,南京市,本科,栖霞区,118.929339714999998,32.128260451599999,38.8928986
33,88,4132013112.000000000000000,南京信息职业技术学院,江苏省南京市栖霞区文澜路99号,6e2f779398c30cb3adb22a85,南京市,专科,栖霞区,118.936698852000006,32.131030611200003,57.3000984
34,22,4132010307.000000000000000,南京农业大学(浦口校区),江苏省南京市浦口区点将台路40号,3cf7cd8583ff1f66b320a8f5,南京市,本科,浦口区,118.694239863000007,32.134935599899997,37.3566017
35,3,4132010284.000000000000000,南京大学(浦口校区),江苏省南京市浦口区学府路8号,8c499c8444279faed6851fbc,南京市,本科,浦口区,118.700112540000006,32.179538307300000,67.8964996
36,20,4132010300.000000000000000,南京信息工程大学,南京市浦口区宁六路219号,9b9d46a4b34128d8b11e36e3,南京市,本科,浦口区,118.710164930999994,32.205407682699999,132.8269958
37,0,4132010316.000000000000000,中国药科大学(江宁校区), ,fcc1398d114cd774a3acc404,南京市,本科,江宁区,118.913106372000001,31.905020111999999,146.1080017
